TICKER	 OPEN	LOW	HIGH	PRECLOSE	LTP	BUY	SELL	GAIN-$	LOSE-$	BUCLO	BECLO	VOLUME	HAMMER	HAMMER+	I-HAM	IHAMMER+	DOJI
MRF	79000	78510	79370	79375.55	78930.9	FALSE	FALSE	370	-490	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
BOSCHLTD	15426.6	15218	15538	15474.5	15410	FALSE	FALSE	111.4	-208.6	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
SHREECEM	28800.3	28581.85	29198	28901.55	29002	FALSE	FALSE	397.7	-218.45	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
NESTLEIND	19445	19252.05	19644.95	19445.55	19557	FALSE	FALSE	199.95	-192.95	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
PAGEIND	31690	31565.25	32789	31704.9	32253	FALSE	FALSE	1099	-124.75	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
LALPATHLAB	3677	3632.9	3720	3676.8	3720	FALSE	FALSE	43	-44.1	TRUE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
MARUTI	7220	7090	7220	7338.05	7152	FALSE	TRUE	0	-130	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
DIVISLAB	4800	4780	4874	4798.7	4830	FALSE	FALSE	74	-20	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
RELIANCE	2501.95	2495	2539.8	2519.25	2525	FALSE	FALSE	37.85	-6.95	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
COLPAL	1669.6	1656.5	1691.95	1669.5	1689.5	FALSE	FALSE	22.35	-13.1	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
SRF	11325	11000	11325	11279.1	11075.1	FALSE	TRUE	0	-325	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
ALKEM	3977	3940.05	4048.3	3980.75	3989.9	FALSE	FALSE	71.3	-36.95	FALSE	FALSE	120,974.00	FALSE	FALSE	TRUE	FALSE	FALSE
JUBLFOOD	4052.2	4012	4125	4040.9	4054	FALSE	FALSE	72.8	-40.2	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
