STOCK	TICKER	OPEN	LOW	HIGH	PRECLOSE	LTP
MRF Ltd.	MRF	79000	78510	79370	79375.55	78930.9
Bosch Ltd.	BOSCHLTD	15426.6	15218	15538	15474.5	15410
Shree Cement Ltd.	SHREECEM	28800.3	28581.85	29198	28901.55	29002
Nestle India Ltd.	NESTLEIND	19445	19252.05	19644.95	19445.55	19557
Page Industries Ltd.	PAGEIND	31690	31565.25	32789	31704.9	32253
Dr. Lal Path Labs Ltd.	LALPATHLAB	3677	3632.9	3720	3676.8	3720
Maruti Suzuki India Ltd.	MARUTI	7220	7090	7220	7338.05	7152
Divi's Laboratories Ltd.	DIVISLAB	4800	4780	4874	4798.7	4830
Reliance Industries Ltd.	RELIANCE	2501.95	2495	2539.8	2519.25	2525
Colgate Palmolive (India) Ltd.	COLPAL	1669.6	1656.5	1691.95	1669.5	1689.5
SRF Ltd.	SRF	11325	11000	11325	11279.1	11075.1
Alkem Laboratories Ltd.	ALKEM	3977	3940.05	4048.3	3980.75	3989.9
Jubilant Foodworks Ltd.	JUBLFOOD	4052.2	4012	4125	4040.9	4054
Siemens Ltd.	SIEMENS	2123	2110	2154.9	2129.4	2150
Procter & Gamble Hygiene & Health Care Ltd.	PGHH	14099	13911	14100	14073.8	14100
Tata Elxsi Ltd.	TATAELXSI	5594	5594	5824.6	5594.05	5804.85
Asian Paints Ltd.	ASIANPAINT	3248	3170	3252.95	3244.65	3180.95
Indiamart Intermesh Ltd.	INDIAMART	8394	8295	8470	8378.9	8299.95
Piramal Enterprises Ltd.	PEL	2574	2570	2665	2595.8	2654
Avenue Supermarts Ltd.	DMART	4250	4220.1	4284.2	4250.2	4242
MindTree Ltd.	MINDTREE	4199.85	4153.15	4242.55	4200.1	4189.8
Ipca Laboratories Ltd.	IPCALAB	2418.1	2390	2435	2411.35	2411.3
InterGlobe Aviation Ltd.	INDIGO	2010	1958.2	2030	2021.7	1974
Bajaj Auto Ltd.	BAJAJ-AUTO	3820	3802.65	3880.75	3832.65	3841
Titan Company Ltd.	TITAN	2157	2122.65	2175	2161.85	2160
Dr. Reddy's Laboratories Ltd.	DRREDDY	4853	4852.25	4970	4880.7	4940.95
L&T Technology Services Ltd.	LTTS	4684	4605	4692.1	4697.55	4621
Bajaj Finserv Ltd.	BAJAJFINSV	17736.05	17050	17736.05	17786.75	17215
Navin Fluorine International Ltd.	NAVINFLUOR	3660	3639.7	3736.55	3684.75	3716.95
Bombay Burmah Trading Corporation Ltd.	BBTC	1147	1140.05	1171.1	1147.75	1158
LIC Housing Finance Ltd.	LICHSGFIN	425	422	430.5	427.05	427.6
Torrent Pharmaceuticals Ltd.	TORNTPHARM	3075	3026.45	3114.7	3085.5	3077.2
Muthoot Finance Ltd.	MUTHOOTFIN	1455	1453.15	1542.95	1450.3	1530.65
Abbott India Ltd.	ABBOTINDIA	20499.5	20462	22569.55	20517.8	22569.55
Dalmia Bharat Ltd.	DALBHARAT	2099	2095.05	2167	2105.75	2122
Apollo Hospitals Enterprise Ltd.	APOLLOHOSP	4481.6	4435	4520	4481.6	4458.1
Britannia Industries Ltd.	BRITANNIA	3958.8	3885	3958.8	3948.95	3910
Pidilite Industries Ltd.	PIDILITIND	2384	2365.2	2422	2381.95	2422
Oberoi Realty Ltd.	OBEROIRLTY	960	908.85	989.5	964.2	913
Bajaj Finance Ltd.	BAJFINANCE	7620	7475	7639.2	7668.1	7525
Eicher Motors Ltd.	EICHERMOT	2787	2752.2	2794.1	2790.2	2770.05
HDFC Asset Management Company Ltd.	HDFCAMC	2898.5	2881.1	2948.65	2908.6	2932
Hero MotoCorp Ltd.	HEROMOTOCO	2827.2	2802.25	2851	2832.5	2845.4
Container Corporation of India Ltd.	CONCOR	706.3	692.15	710.6	704.3	702
Polycab India Ltd.	POLYCAB	2387	2332	2387	2389	2345
Godrej Properties Ltd.	GODREJPROP	2312	2205	2340	2311.9	2228.95
Nippon Life India Asset Management Ltd.	NAM-INDIA	424.9	422.25	445.8	425.35	439.4
Grasim Industries Ltd.	GRASIM	1659.95	1635.5	1687.65	1669.45	1670
Adani Total Gas Ltd.	ATGL	1425	1400.05	1433.1	1423.15	1424
Coforge Ltd.	COFORGE	5209	5175.05	5325	5241.3	5277
Aarti Industries Ltd.	AARTIIND	925	917.45	949.8	929.85	941
UltraTech Cement Ltd.	ULTRACEMCO	7396.1	7356.2	7502	7396.1	7495
Whirlpool of India Ltd.	WHIRLPOOL	2280	2260.05	2305	2284.95	2288
Tata Consultancy Services Ltd.	TCS	3781.75	3725	3810	3775.55	3728.65
Havells India Ltd.	HAVELLS	1373.1	1334.25	1382.7	1373.1	1359.7
Dixon Technologies (India) Ltd.	DIXON	4579.75	4545.6	4900	4611.9	4899.95
ICICI Securities Ltd.	ISEC	754.9	750	770	758.35	763
Trent Ltd.	TRENT	1025.85	1020	1090	1025.85	1039.95
Deepak Nitrite Ltd.	DEEPAKNTR	2399	2356	2405	2406.55	2383.05
Lupin Ltd.	LUPIN	946	943	968	951.6	967
Godrej Consumer Products Ltd.	GODREJCP	1029.2	1006.15	1042.95	1029.9	1016.1
ACC	ACC	2237	2211.35	2258	2254.5	2237.7
MphasiS Ltd.	MPHASIS	3109	3010	3119	3104.4	3028
ICICI Bank Ltd.	ICICIBANK	693	687.9	694.85	700.85	692.4
Balkrishna Industries Ltd.	BALKRISIND	2533.65	2501.15	2553	2533.65	2538
Hindustan Unilever Ltd.	HINDUNILVR	2706	2680.1	2712	2701.8	2702
Sanofi India Ltd.	SANOFI	7821.6	7778.8	7988	7799.8	7845
Tata Steel Ltd.	TATASTEEL	1275	1265	1311	1288.9	1294.05
Kotak Mahindra Bank Ltd.	KOTAKBANK	1997	1971.9	2010.8	2005.5	1990.05
Adani Transmission Ltd.	ADANITRANS	1558.5	1525	1590.1	1558.5	1566.75
Jindal Steel & Power Ltd.	JINDALSTEL	386.65	379.6	409.5	389.25	402
JSW Steel Ltd.	JSWSTEEL	660	658.9	686.7	668.3	673.95
Berger Paints India Ltd.	BERGEPAINT	811.3	798.2	812.4	809	811
Indraprastha Gas Ltd.	IGL	535	525.55	537	533.1	528.95
Alembic Pharmaceuticals Ltd.	APLLTD	785	783	794	789.1	787.5
CESC Ltd.	CESC	91.5	88.5	92.4	91.55	91.6
UPL Ltd.	UPL	707	698.25	714.05	707.7	711.9
Bata India Ltd.	BATAINDIA	1778	1762.5	1852.95	1778.15	1841
PI Industries Ltd.	PIIND	3170	3091	3179.25	3178.35	3100
Indiabulls Housing Finance Ltd.	IBULHSGFIN	230.95	227.5	235.45	231.65	234.75
HDFC Bank Ltd.	HDFCBANK	1583	1565.25	1589	1594.95	1585.65
The Ramco Cements Ltd.	RAMCOCEM	984.75	976.75	999	984.65	988.05
Indian Railway Catering And Tourism Corporation Ltd.	IRCTC	3777	3733.15	3821	3798.5	3794
Info Edge (India) Ltd.	NAUKRI	6445	6400	6524	6431.4	6429
United Spirits Ltd.	MCDOWELL-N	855	840.1	869.45	853.1	864
Housing Development Finance Corporation Ltd.	HDFC	2738.6	2693.6	2752	2754.3	2710
Glenmark Pharmaceuticals Ltd.	GLENMARK	508.9	505.95	514	510.45	512.5
Axis Bank Ltd.	AXISBANK	763.4	754	771.7	766.55	767.8
NATCO Pharma Ltd.	NATCOPHARM	895.9	883.3	918	891.55	903
Bharti Airtel Ltd.	BHARTIARTL	687.35	667.65	687.35	688.3	675.8
Voltas Ltd.	VOLTAS	1217.75	1199.95	1220.6	1218.05	1213.75
Escorts Ltd.	ESCORTS	1463	1427	1478.45	1480.1	1471.95
Torrent Power Ltd.	TORNTPOWER	504	490.2	507.9	505.05	499
Godrej Industries Ltd.	GODREJIND	578.9	564	579	579.15	564.85
Dabur India Ltd.	DABUR	617	609	620.2	617.05	618.65
Tech Mahindra Ltd.	TECHM	1375	1364.8	1384	1380.6	1368.9
Bharat Forge Ltd.	BHARATFORG	737	721	741.25	737.45	726.6
Gujarat Gas Ltd.	GUJGASLTD	640.5	610.55	643.85	637.45	614.7
Max Financial Services Ltd.	MFSL	1017.15	993.75	1024.45	1014.3	1016.45
Bandhan Bank Ltd.	BANDHANBNK	281.8	279.2	289.75	283	288.45
Syngene International Ltd.	SYNGENE	600	599.05	618.8	599.9	615.6
SBI Cards and Payment Services Ltd.	SBICARD	1025.5	1023.75	1048	1029.6	1046.05
Ajanta Pharmaceuticals Ltd.	AJANTPHARM	2291	2240	2299	2278.1	2245
Coromandel International Ltd.	COROMANDEL	790.8	788.1	802	794.45	801.8
ICICI Prudential Life Insurance Company Ltd.	ICICIPRULI	673.75	658	673.75	671.85	667.4
Marico Ltd.	MARICO	545	541.05	552.75	547.5	551.65
SBI Life Insurance Company Ltd.	SBILIFE	1204	1199.4	1217.55	1215.1	1210
Biocon Ltd.	BIOCON	362	358.25	367.6	362.7	365.6
City Union Bank Ltd.	CUB	157.5	155.7	160.05	157.65	158.8
Mahanagar Gas Ltd.	MGL	1082	1070	1109	1082.65	1092
Manappuram Finance Ltd.	MANAPPURAM	170	169.4	180.5	169.15	180.1
IndusInd Bank Ltd.	INDUSINDBK	1104	1091.3	1112	1111.9	1103.05
HCL Technologies Ltd.	HCLTECH	1274	1260.65	1284	1279.55	1273
Cummins India Ltd.	CUMMINSIND	987.8	878.15	987.8	991.95	915
State Bank of India	SBIN	448.5	443.8	455.55	453	452
Cholamandalam Investment and Finance Company Ltd.	CHOLAFIN	564	556	568	564.25	557.45
Pfizer Ltd.	PFIZER	5581.1	5504	5609	5581.1	5578.9
TVS Motor Company Ltd.	TVSMOTOR	550.9	544.95	569.75	549.45	567.5
Adani Enterprises Ltd.	ADANIENT	1465	1422.65	1468.75	1468.1	1455
Dhani Services Ltd.	DHANI	183.15	180.5	184	183.3	181
DLF Ltd.	DLF	419	411.15	422.85	417.2	416.3
Steel Authority of India Ltd.	SAIL	112.95	110.8	115.85	113.65	114.95
